snapshot,biogas_market
2023-01-01,8678.875847222225
2023-01-08,8644.742530190792
2023-01-15,0.0
2023-01-22,46917.929825690444
2023-01-29,6571.258993636959
2023-02-05,23470.20645156657
2023-02-12,0.0
2023-02-19,5919.3283739003655
2023-02-26,26115.574101809787
2023-03-05,1989.0162866055825
2023-03-12,26496.604494967243
2023-03-19,8123.755393924128
2023-03-26,22.397806129158404
2023-04-02,1310.821840059666
2023-04-09,17809.214717227023
2023-04-16,3548.895780782457
2023-04-23,4131.59618891826
2023-04-30,10449.949373273805
2023-05-07,9739.769587031697
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,1941.0923179714985
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,4354.6097329935055
2023-06-25,8263.187077388451
2023-07-02,3756.808114597354
2023-07-09,0.0
2023-07-16,1072.2988273250983
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,235.11048472835301
2023-08-27,18086.469891062792
2023-09-03,36463.385131145944
2023-09-10,1358.3948599651146
2023-09-17,3747.8198970924914
2023-09-24,0.0
2023-10-01,77.76287840016151
2023-10-08,2147.9043971457813
2023-10-15,3301.971234460586
2023-10-22,9512.51166074084
2023-10-29,38554.50918614728
2023-11-05,4463.766038037167
2023-11-12,57238.47257878833
2023-11-19,71197.77982441866
2023-11-26,28500.0
2023-12-03,19769.141988089905
2023-12-10,38966.52702205398
2023-12-17,27068.393581692697
2023-12-24,15265.667647864662
2023-12-31,36812.81542227599
