,,Optimal Capacity,Installed Capacity,Capacity Factor,Dispatch,Transmission,Withdrawal,Supply,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,biogas,50.0,0.0,0.0825832192705276,12057.150013497041,0.0,0.0,12057.150013497041,0.0,628168620.8,11534266.142003711,10451306641.235224,866814.0173702576
Generator,offwind,330.90152230786754,0.0,0.09275245382351843,89620.43025053796,0.0,0.0,89620.43025053796,229562.12050442625,7961738728.747083,19108052.370074965,7980846781.1172,89051.64546528502
Generator,onwind,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator,solar,2754.017310980546,0.0,0.05919981541793015,476068.96408607124,0.0,0.0,476068.96408607124,550957.5913141364,15116291813.187485,57824278.93644749,15174116092.123844,31873.777197919644
Link,AC,2788.9088152027393,0.0,0.13059406718119687,-22548.82726282459,1063507.6399104705,1063507.6399104702,1040958.8126476458,0.0,2435716367.3907704,2627074.4325062055,2438343441.8232794,2342.401459305993
Link,h2,73.35037929809373,0.0,0.026756122135004102,-2292.2837539496495,5730.709384874121,5730.70938487412,3438.4256309244747,0.0,921528131.9768081,364325.4938042399,921892457.4706239,268114.7002800695
Load,-,0.0,0.0,,-552905.4333333336,0.0,552905.4333333336,0.0,0.0,0.0,0.0,-45906932197.63822,
Store,h2,4642.920408687341,0.0,0.42237772536437523,-3.319655661471188e-11,0.0,5730.70938487413,5730.70938487412,0.0,3714336326.9498725,0.0,3714336326.949857,648145.9933657848
Store,li-ion,2431.4232057695936,0.0,0.3455315716005482,6.480149750132114e-12,0.0,233408.95862891094,233408.95862891097,0.0,5226090456.927372,0.0,5226090456.927379,22390.273653703953
