snapshot,biogas_market
2023-08-25,0.0
2023-08-26,8143.718900334414
2023-08-27,0.0
2023-08-28,5582.2632329234775
2023-08-29,3182.8220114285623
2023-08-30,14064.384590010332
2023-08-31,19306.601965963273
2023-09-01,12804.517792298875
2023-09-02,1551.7761886153414
2023-09-03,1791.236537079716
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,673.6814799893134
2023-09-07,7849.18424196878
2023-09-08,11766.370445241524
2023-09-09,2090.997301126662
2023-09-10,157.8848892314108
2023-09-11,8371.666675872755
2023-09-12,0.0
2023-09-13,9600.948904142495
2023-09-14,19334.03827004194
2023-09-15,273.0654571298147
2023-09-16,2642.784827083347
2023-09-17,7284.18350615544
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,1568.1143151806791
2023-10-10,9688.757868292629
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,15201.136189210634
2023-10-24,9387.514070698806
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,675.917290133631
2023-10-28,15961.733992201902
2023-10-29,1131.9995106064293
2023-10-30,0.0
2023-10-31,18296.32151399496
2023-11-01,21842.96304133725
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,10975.796935991046
2023-11-05,11208.336426916016
2023-11-06,19505.404512083474
2023-11-07,26101.33657171679
2023-11-08,32403.466571272926
2023-11-09,26220.01402835959
2023-11-10,36000.0
2023-11-11,34330.42763318865
2023-11-12,36000.0
2023-11-13,27813.1341058356
2023-11-14,0.0
2023-11-15,24341.889354358034
2023-11-16,6794.412673591321
2023-11-17,15113.52990096794
2023-11-18,32021.734041366475
2023-11-19,0.0
2023-11-20,11080.491987777492
2023-11-21,28722.363904191312
2023-11-22,10936.24129348181
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,5660.025820444945
2023-11-26,26790.608675247924
2023-11-27,24017.528793913505
2023-11-28,25116.85026010331
2023-11-29,29798.577094764725
2023-11-30,9633.236338404296
2023-12-01,17395.697191749165
2023-12-02,36000.0
2023-12-03,36000.0
2023-12-04,36000.0
2023-12-05,20541.18134057596
2023-12-06,13277.130972346367
2023-12-07,36000.0
2023-12-08,27446.318697546118
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,3336.9373998142623
2023-12-12,22474.76965661041
2023-12-13,32750.790401852584
2023-12-14,36000.0
2023-12-15,11734.180063602644
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,8889.336787297469
2023-12-28,0.0
2023-12-29,0.0
2023-12-30,9911.569101941594
2023-12-31,2567.702703848336
