timestamp,value
2023-01-01,12978.017500985585
2023-01-08,106862.0027686395
2023-01-15,104289.17348463596
2023-01-22,109059.950793273
2023-01-29,109558.56032367
2023-02-05,111284.903411514
2023-02-12,109604.1498276795
2023-02-19,104539.505040465
2023-02-26,109441.9169079945
2023-03-05,104489.3976576705
2023-03-12,112293.930564555
2023-03-19,105524.91600900034
2023-03-26,103147.7930192505
2023-04-02,109154.1074941305
2023-04-09,98191.47464360973
2023-04-16,93985.74021918242
2023-04-23,88305.63712776972
2023-04-30,93006.48999444135
2023-05-07,88812.76902040953
2023-05-14,84417.69440363215
2023-05-21,81308.26433589954
2023-05-28,83462.36840058917
2023-06-04,84541.11463748236
2023-06-11,81209.4870771971
2023-06-18,83751.30728414345
2023-06-25,79107.0305812358
2023-07-02,82549.44885059819
2023-07-09,78584.4968291418
2023-07-16,74025.85446486592
2023-07-23,68445.45274371702
2023-07-30,67871.16874381962
2023-08-06,71868.97806546667
2023-08-13,80376.75987548381
2023-08-20,84651.59730937093
2023-08-27,84898.02706080256
2023-09-03,84856.85275650301
2023-09-10,86866.07666316678
2023-09-17,85942.78652780713
2023-09-24,85997.0010731219
2023-10-01,86717.29470073876
2023-10-08,93691.77006154522
2023-10-15,95614.53819708043
2023-10-22,101817.07236152701
2023-10-29,102838.01028589897
2023-11-05,104328.80760299224
2023-11-12,101718.29510283461
2023-11-19,114233.12735019
2023-11-26,116510.65164873
2023-12-03,125843.0490144945
2023-12-10,125835.348084756
2023-12-17,118887.774638475
2023-12-24,114828.871274277
2023-12-31,107873.186182014
