snapshot,onwind
2023-01-01,13486.909690736866
2023-01-02,14783.282321540786
2023-01-03,15053.211930996116
2023-01-04,18517.35311814189
2023-01-05,16662.780134986893
2023-01-06,16056.024441233705
2023-01-07,13637.48480937809
2023-01-08,19136.05141306386
2023-01-09,10984.253912157275
2023-01-10,12974.549232428391
2023-01-11,16167.512778199609
2023-01-12,15249.596438791526
2023-01-13,19354.061900159028
2023-01-14,17191.337269185107
2023-01-15,17145.810939754316
2023-01-16,19725.709732742624
2023-01-17,22074.284375067393
2023-01-18,15646.930161555782
2023-01-19,25086.2143040862
2023-01-20,3690.129924320546
2023-01-21,11707.976329907513
2023-01-22,19830.182582717098
2023-01-23,3112.5910710944654
2023-01-24,8926.763969228718
2023-01-25,19889.02651110008
2023-01-26,12858.760127021495
2023-01-27,8574.972940627784
2023-01-28,13045.800726611915
2023-01-29,19714.826906678958
2023-01-30,17589.19992448044
2023-01-31,21755.54403898285
2023-02-01,18585.674645777082
2023-02-02,14894.229674647053
2023-02-03,23398.89711411842
2023-02-04,9559.06449794689
2023-02-05,11009.836824311831
2023-02-06,3206.3871351230273
2023-02-07,7883.1474549439035
2023-02-08,12094.859707706273
2023-02-09,20313.844796470916
2023-02-10,17401.919477265157
2023-02-11,13789.532806984571
2023-02-12,12925.441986921294
2023-02-13,18487.018585062415
2023-02-14,5481.455595227318
2023-02-15,2317.8882051401615
2023-02-16,7492.678594472873
2023-02-17,13759.546466831172
2023-02-18,13305.668138220515
2023-02-19,14243.644212862995
2023-02-20,22427.78346110608
2023-02-21,11827.631693348521
2023-02-22,16027.665448511238
2023-02-23,15891.868568292217
2023-02-24,17145.334797410113
2023-02-25,15592.712551075443
2023-02-26,13609.989521230025
2023-02-27,1428.543508637449
2023-02-28,4111.647799566732
2023-03-01,3297.143736518665
2023-03-02,3872.028458557729
2023-03-03,8387.134654209456
2023-03-04,8403.459881925
2023-03-05,6601.535914841707
2023-03-06,3394.7748433634993
2023-03-07,12193.377648731093
2023-03-08,10437.885192292348
2023-03-09,4966.207567905129
2023-03-10,8272.46393895218
2023-03-11,8464.490477805633
2023-03-12,9034.960963341364
2023-03-13,15765.357532450142
2023-03-14,12115.474005843958
2023-03-15,9081.824968389412
2023-03-16,7927.888271386171
2023-03-17,17538.626070068432
2023-03-18,9296.40844180202
2023-03-19,3673.3239172736726
2023-03-20,17121.55398676628
2023-03-21,7690.145024337136
2023-03-22,12446.005730115854
2023-03-23,11140.976235374363
2023-03-24,11651.73009281977
2023-03-25,9774.549316653909
2023-03-26,8652.35874709878
2023-03-27,8126.603034189788
2023-03-28,9076.340611526122
2023-03-29,14897.989176186282
2023-03-30,16927.62152769455
2023-03-31,12723.181880614871
2023-04-01,12770.334057339756
2023-04-02,6154.177885101724
2023-04-03,3522.483914796217
2023-04-04,3766.9969526175173
2023-04-05,2417.840879781897
2023-04-06,7577.524034950574
2023-04-07,8217.448776131227
2023-04-08,1822.280176268981
2023-04-09,1805.321545954088
2023-04-10,4312.348380598374
2023-04-11,7366.0008971443085
2023-04-12,4051.6078283440206
2023-04-13,7045.048688629161
2023-04-14,4632.686105776134
2023-04-15,7093.428863145218
2023-04-16,807.2789309303541
2023-04-17,3568.846942546159
2023-04-18,4583.353561845661
2023-04-19,2965.87945826154
2023-04-20,2558.6266917308158
2023-04-21,1394.7609687488862
2023-04-22,2381.3790695168855
2023-04-23,4022.393843209455
2023-04-24,6682.488075522456
2023-04-25,7829.456345624966
2023-04-26,3191.19406691733
2023-04-27,2973.0719541348626
2023-04-28,1541.618268922868
2023-04-29,1850.9599079493141
2023-04-30,1577.7832246783628
2023-05-01,2754.7991653769704
2023-05-02,2575.0189284515436
2023-05-03,1399.8967646457513
2023-05-04,3996.120278335979
2023-05-05,2864.186142346827
2023-05-06,1128.7464606479027
2023-05-07,1998.9236713354417
2023-05-08,1994.878113097481
2023-05-09,2074.4071314809553
2023-05-10,2217.044399275504
2023-05-11,1631.3627299644895
2023-05-12,628.89615748553
