snapshot,onwind
2023-01-01,22483.873823328817
2023-01-02,39766.67283644837
2023-01-03,12758.151696065222
2023-01-04,83362.39554332694
2023-01-05,69838.07171962556
2023-01-06,85010.36382123832
2023-01-07,81411.2379311842
2023-01-08,75579.31709484849
2023-01-09,57672.6689740303
2023-01-10,65445.04435907904
2023-01-11,88786.78074021668
2023-01-12,76282.60652241325
2023-01-13,87593.40866523047
2023-01-14,73644.49060459164
2023-01-15,79917.7559060797
2023-01-16,80517.79025074553
2023-01-17,87128.514535662
2023-01-18,95393.36355970179
2023-01-19,40113.424196384345
2023-01-20,3870.7766449746423
2023-01-21,8193.464745215193
2023-01-22,7556.006376813759
2023-01-23,17244.674631362166
2023-01-24,93161.37059256571
2023-01-25,110173.63578539072
2023-01-26,70160.1899627972
2023-01-27,24476.481880688792
2023-01-28,85106.14832986344
2023-01-29,81490.42558488189
2023-01-30,75642.77802138928
2023-01-31,90195.7302567921
2023-02-01,82553.51024189476
2023-02-02,24843.98410075889
2023-02-03,106586.51307996566
2023-02-04,21807.448300685908
2023-02-05,61545.82105326609
2023-02-06,17508.8493853514
2023-02-07,87319.49971860168
2023-02-08,86748.4749738912
2023-02-09,88805.93118557829
2023-02-10,74216.72365319698
2023-02-11,55529.23661258032
2023-02-12,58927.553411658126
2023-02-13,69421.0985526988
2023-02-14,17841.69675640887
2023-02-15,25822.51251442255
2023-02-16,62198.39622543509
2023-02-17,81319.52344504782
2023-02-18,66979.67565313305
2023-02-19,48677.21536699855
2023-02-20,80233.55947682957
2023-02-21,59405.447459685754
2023-02-22,67881.2590574076
2023-02-23,55511.5239356751
2023-02-24,68159.99885371368
2023-02-25,67175.89985519706
2023-02-26,52798.42250012352
2023-02-27,12663.611169701653
2023-02-28,7305.667047369841
2023-03-01,26647.507098098813
2023-03-02,33194.9069326594
2023-03-03,32905.60129822936
2023-03-04,59213.428306298636
2023-03-05,37444.98961283684
2023-03-06,3739.7611997351773
2023-03-07,97509.96299909824
2023-03-08,48600.646125372914
2023-03-09,83610.90897427716
2023-03-10,21278.591198723174
2023-03-11,33845.34427839951
2023-03-12,55134.340449060284
2023-03-13,95525.98917195816
2023-03-14,72924.49359418041
2023-03-15,57480.531846929836
2023-03-16,34680.31506822894
2023-03-17,103449.01564262707
2023-03-18,22096.82936687408
2023-03-19,22186.171165652642
2023-03-20,61823.54005443162
2023-03-21,22410.115063101937
2023-03-22,79568.79411431753
2023-03-23,77294.03933823593
2023-03-24,83277.19843302452
2023-03-25,61749.45906360085
2023-03-26,42581.569947623575
2023-03-27,22175.00589728073
2023-03-28,33780.36436395384
2023-03-29,60966.47387106847
2023-03-30,86341.00838893915
2023-03-31,88567.39882945777
2023-04-01,45931.093184785495
2023-04-02,24766.649223145447
2023-04-03,12415.922452052428
2023-04-04,9945.70698191358
2023-04-05,21075.930054368884
2023-04-06,32699.962284742156
2023-04-07,23387.292988770427
2023-04-08,26968.142967332955
2023-04-09,7077.119811996942
2023-04-10,28244.683506064663
2023-04-11,37385.998437333066
2023-04-12,20756.578773065303
2023-04-13,49449.14764553448
2023-04-14,29537.84978427102
2023-04-15,35807.62561685011
2023-04-16,26443.68976850617
2023-04-17,22502.046315769163
